site,tree_spp,dir,r,larvae,leaves,x,y
A4,BO,ENE,35,4,202,32.32,13.4
A4,BO,ENE,40,1,160,36.92,15.3
A4,BO,ENE,45,0,1,41.52,17.2
A3,BO,Center,0,8,116,0,0
A3,BO,N,5,20,182,0,5
A3,BO,N,10,9,227,0,10
A3,BO,N,15,12,191,0,15
A3,BO,N,20,0,242,0,20
A3,BO,N,30,3,102,0,30
A3,BO,N,35,0,1,0,35
A3,BO,NW,5,10,142,-3.5,3.5
A3,BO,NW,10,4,120,-7.07,7.07
A3,BO,NW,15,1,161,-10.6,10.6
A3,BO,NW,20,0,1,-14.14,14.14
A3,BO,NE,5,1,202,3.53553390593274,3.53553390593274
A3,BO,NE,10,28,180,7.07106781186548,7.07106781186548
A3,BO,NE,15,7,137,10.6066017177982,10.6066017177982
A3,BO,NE,20,7,147,14.142135623731,14.142135623731
A3,BO,NE,25,5,173,17.6776695296637,17.6776695296637
A3,BO,NE,30,6,126,21.2132034355964,21.2132034355964
A3,BO,NE,35,4,129,24.7487373415292,24.7487373415292
A3,BO,NE,40,3,128,28.2842712474619,28.2842712474619
A3,BO,NE,45,0,1,31.8198051533946,31.8198051533946
A3,BO,W,5,2,187,-5,0
A3,BO,W,10,0,1,-10,0
A3,BO,NNE,5,13,147,1.9,4.6
A3,BO,NNE,10,5,123,3.83,9.24
A3,BO,NNE,15,17,122,5.74,13.9
A3,BO,NNE,20,4,116,7.65,18.5
A3,BO,NNE,25,2,193,9.6,23.1
A3,BO,NNE,30,1,133,11.5,27.72
A3,BO,NNE,35,0,1,13.4,32.32
A3,BO,S,5,13,218,0,-5
A3,BO,S,10,4,244,0,-10
A3,BO,S,15,2,227,0,-15
A3,BO,S,20,0,1,0,-20
A3,BO,SW,5,5,108,-3.53553390593274,-3.53553390593274
A3,BO,SW,10,5,168,-7.07106781186548,-7.07106781186548
A3,BO,SW,15,1,131,-10.6066017177982,-10.6066017177982
